Estacion,decimalLatitude,decimalLongitude,eventTime,eventDate,Red,Solicitud,Vol_filtrado,Vol_concentrado,Vol_alicuota,Num_alicuotas,fieldNumber
95,3,-83,18:58:00,2023-10-29,500,31,198.1860471,125,5,1,SP-23-0503
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,300,31,50.76011111,100,5,4,SP-23-0512
79,3,-82,03:59:00,2023-10-30,500,31,57.14469889,125,5,2,SP-23-0513
79,3,-82,04:59:00,2023-10-30,500,31,57.14469889,125,5,2,SP-23-0513
79,3,-82,05:59:00,2023-10-30,500,31,57.14469889,125,5,2,SP-23-0513
